Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7.341000,12.562000,180.000000,bottom
C2,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.541000,11.262000,90.000000,bottom
C3,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,20.341000,15.162000,270.000000,bottom
C4,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.741000,11.362000,90.000000,bottom
C6,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.341000,16.062000,180.000000,bottom
C7,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.241000,16.262000,180.000000,bottom
R1,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.841000,16.262000,180.000000,bottom
R2,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.141000,16.262000,0.000000,bottom
R3,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,16.041000,9.862000,180.000000,bottom
R4,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.741000,9.862000,0.000000,bottom
R5,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,16.041000,7.262000,0.000000,bottom
R9,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.141000,11.362000,0.000000,bottom
R10,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.141000,6.762000,0.000000,bottom
R11,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,21.441000,10.262000,180.000000,bottom
R12,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,21.441000,6.762000,180.000000,bottom
R13,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.241000,10.162000,0.000000,bottom
R14,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.241000,6.762000,0.000000,bottom
R15,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.341000,13.662000,180.000000,bottom
R16,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.341000,9.062000,180.000000,bottom
R17,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.706000,33.082000,0.000000,bottom
R18,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.706000,36.282000,0.000000,bottom
R19,330,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.706000,39.482000,0.000000,bottom
U1,MCP4921-E,SOIC-8_3.9x4.9mm_P1.27mm,14.222380,14.278620,90.000000,bottom
U2,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,28.331000,10.262000,270.000000,bottom
U3,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,104.916000,11.362000,0.000000,bottom
U4,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,73.236000,11.362000,0.000000,bottom
U6,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,44.171000,10.262000,270.000000,bottom
